id,timesig
0OYGe21oScKJfanLyM7daU,3
0PE42H6tslQuyMMiGRiqtb,3
0PH9AACae1f957JAavhOl2,4
0QiT0Oo5QdLXdFw6RDOj7h,4
0TWsNj5iSvbMTtbEDP7A4V,4
0cC9CYjLRIzwchQ42xVnq6,1
0eb1PfHxT6HnXvvdUOzmME,3
0grXU6GKVNCVMJbseA0Uhe,1
0kCB1bDVBC8gWCFcnJyIZc,4
0l3BQsVJ7F76wlN5QhJzaP,4
0pXUGQcBxfoQXg2e7G9Wwk,3
0wA4YFw7ZNnpasfjVgJxpv,3
0xJCJ9XSNcdTIz0QKmhtEn,3
0zyKYuXwmo8eR3BBxoxVEO,1
10XXG7gG75jIREUaModzOY,4
10u9ZWsOnhEyqFJCC2rQVy,3
112adU33vo4C1eRZct2hWy,3
15BEv0mKGqHHxyDAcLJ7ei,1
1CZkVPFUK7wO1sMOlBHxJr,4
1FnTOwM5cW5N9wzCWziLKC,4
1HJRj2XztAhgO7dLBw6b7s,4
1KLKkACG16o5crQPiaF1Tz,3
1KgBLlvPR6BxDyBNDtCUP0,4
1KxCqUwjiAHw7W0IIrRUwP,4
1PGLk4jyXA8oWTBtMyYlwX,4
1QDTYyfndMN9SDtRKDv9XO,4
1V5PoYJVCYMHPWAZHxk6IA,4
1VuFIir7DL0mc6bppGMa3r,5
1ZYRk4U7EuJwdRZNHpEBIz,4
1b8HZQCqcqwbzlA1jRTp6E,3
1g7vO6aQ6NI5EcjzYs3RGf,5
1lia44teZBfbv0PnPkc5dK,4
1pGBOfY0PvpArBZT7GaUVK,5
1qQeEBayDNySHIiYmvQge0,1
1tKqAvRoP2RQfxftl4hVJT,4
1v0HtSUeQOu3ba28pvYE5y,4
213QIyv1KZIeGg7oXAMbah,3
21yni4TcBS35MlxLjzV51t,4
2B9d7LBGJvQEKiLEAexCOP,4
2BVWvGSdgUZtC2La5P3Jtv,4
2Be2FRskn33cqPyeSdTqFd,4
2EapOmGwqUQrmHCP4LrsZi,1
2MHbLEapczIltPOYYEzQtE,4
2PF5orWaMQK4N1DwZJ20J8,4
